id,name,city,country,continent,region,lon,lat,rank
BSZ,Manas International Airport,Bishkek,Kyrgyzstan,Asia,Central Asia,74.4775,43.061389,160
CGN,Cologne Bonn Airport,Cologne,Germany,Europe,Central Europe,7.142778,50.865833,161
OLB,Olbia Costa Smeralda,Olbia,Italy,Europe,Southern Europe,9.517778,40.898611,164
SJJ,Sarajevo International,Sarajevo,Bosnia & Herzegovina,Europe,Southern Europe,18.331389,43.824722,166
DSS,Blaise Diagne International Airport,Dakar,Senegal,Africa,Western Africa,-17.066944,14.671111,167
RHO,Rhodes International,Rhodes,Greece,Europe,Southern Europe,28.086111,36.405556,175
TLL,Tallinn,Tallinn,Estonia,Europe,Northern Europe,24.8325,59.413333,178
GDN,Gdańsk Lech Wałęsa,Gdańsk,Poland,Europe,Central Europe,18.466111,54.3775,182
EIN,Eindhoven,Eindhoven,Netherlands,Europe,Western Europe,5.374444,51.45,185
FNC,Cristiano Ronaldo International,Funchal,Portugal,Europe,Southern Europe,-16.778056,32.694167,189
BIO,Bilbao,Bilbao,Spain,Europe,Southern Europe,-2.910556,43.301111,190
HHN,Frankfurt–Hahn,Frankfurt,Germany,Europe,Central Europe,7.263889,49.948611,191
AGA,Agadir–Al Massira,Agadir,Morocco,Africa,Northern Africa,-9.413056,30.325,198
KUT,David the Builder Kutaisi International,Kutaisi,Georgia,Asia,Western Asia,42.4825,42.176667,200
HRG,Hurghada International,Hurghada,Egypt,Africa,Northern Africa,33.801389,27.178611,202
ADB,Adnan Menderes,İzmir,Turkey,Asia,Western Asia,27.156944,38.2925,207
LPA,Gran Canaria,Las Palmas,Spain,Europe,Southern Europe,-15.386667,27.931944,210
TSF,Treviso,Venice,Italy,Europe,Southern Europe,12.197778,45.650833,214
EBB,Entebbe International,Entebbe,Uganda,Africa,Eastern Africa,32.443611,0.0425,215
EBL,Erbil International,Erbil,Iraq,Asia,Western Asia,43.963056,36.237778,219
PSA,Pisa International,Pisa,Italy,Europe,Southern Europe,10.395556,43.682778,220
ESB,Esenboğa International,Ankara,Turkey,Asia,Western Asia,32.995,40.128056,221
TLS,Toulouse–Blagnac,Toulouse,France,Europe,Western Europe,1.367778,43.635,222
CLJ,Cluj International,Cluj-Napoca,Romania,Europe,Eastern Europe,23.686111,46.785278,226
TIV,Tivat,Tivat,Montenegro,Europe,Southern Europe,18.723333,42.404722,231
ADD,Addis Ababa Bole International,Addis Ababa,Ethiopia,Africa,Eastern Africa,38.799444,8.977778,238
DAM,Damascus International,Damascus,Syria,Asia,Southern Asia,36.514167,33.410556,244
BSL,EuroAirport Basel Mulhouse Freiburg,Basel,Switzerland,Europe,Central Europe,7.521667,47.601111,247
RBA,Rabat–Salé,Rabat,Morocco,Africa,Northern Africa,-6.751389,34.051389,248
TFS,Tenerife–South,Tenerife,Spain,Europe,Southern Europe,-16.5725,28.044444,249
GOT,Göteborg Landvetter,Gothenburg,Sweden,Europe,Northern Europe,12.279722,57.662778,256
BGO,"Bergen Airport, Flesland",Bergen,Norway,Europe,Northern Europe,5.218056,60.293333,257
BGW,Baghdad International,Baghdad,Iraq,Asia,Western Asia,44.234444,33.2625,262
ZAD,Zadar,Zadar,Croatia,Europe,Southern Europe,15.346667,44.108333,264
LYS,Lyon–Saint-Exupéry,Lyon,France,Europe,Western Europe,5.081111,45.725556,275
BOD,Bordeaux–Mérignac,Bordeaux,France,Europe,Western Europe,-0.715278,44.828611,276
GLA,Glasgow,Glasgow,United Kingdom,Europe,Northern Europe,-4.433333,55.871944,279
CAG,Cagliari Elmas,Cagliari,Italy,Europe,Southern Europe,9.057778,39.251389,289
NUE,Nuremberg,Nuremberg,Germany,Europe,Central Europe,11.066944,49.498611,290
PFO,Paphos International,Paphos,Cyprus,Europe,Southern Europe,32.485833,34.718056,291
PDL,João Paulo II,Ponta Delgada,Portugal,Europe,Southern Europe,-25.697778,37.741111,292
SHJ,Sharjah International,Dubai,United Arab Emirates,Asia,Western Asia,55.517222,25.328611,293
WRO,Copernicus Airport Wrocław,Wrocław,Poland,Europe,Central Europe,16.885833,51.102778,296
BOJ,Burgas,Burgas,Bulgaria,Europe,Eastern Europe,27.515278,42.569722,302
LUX,Luxembourg,Luxembourg,Luxembourg,Europe,Western Europe,6.204444,49.623333,306
BJL,Banjul International,Banjul,Gambia,Africa,Western Africa,-16.652222,13.338056,307
LIN,Linate,Milan,Italy,Europe,Southern Europe,9.278333,45.449444,309
BJV,Milas–Bodrum,Bodrum,Turkey,Asia,Western Asia,27.664444,37.250556,310
ABJ,Port Bouet,Abidjan,Côte d’Ivoire,Africa,Western Africa,-3.926389,5.261389,311
AHO,Alghero-Fertilia,Alghero,Italy,Europe,Southern Europe,8.289722,40.630278,312
HBE,Borg El Arab,Alexandria,Egypt,Africa,Northern Africa,29.696389,30.917778,314
LJU,Ljubljana Jože Pučnik,Ljubljana,Slovenia,Europe,Southern Europe,14.4575,46.223611,315
FEZ,Fès–Saïs,Fes,Morocco,Africa,Northern Africa,-4.978056,33.927222,317
NQZ,Nursultan Nazarbayev International Airport,Astana,Kazakhstan,Asia,Central Asia,71.466944,51.023056,318
BRS,Bristol,Bristol,United Kingdom,Europe,Northern Europe,-2.718889,51.3825,323
ZTH,Zakynthos International,Zakynthos Island,Greece,Europe,Southern Europe,20.884167,37.750833,324
ECN,Ercan International,Northern Cyprus,Unknown Region,Asia,Western Asia,33.488333,35.159722,325
BUS,Batumi International,Batumi,Georgia,Asia,Western Asia,41.599722,41.610278,328
TRF,"Sandefjord Airport, Torp",Oslo,Norway,Europe,Northern Europe,10.258611,59.186667,331
POZ,Poznań–Ławica,Poznań,Poland,Europe,Central Europe,16.826389,52.421111,333
KGL,Kigali International,Kigali,Rwanda,Africa,Eastern Africa,30.139444,-1.968611,336
COV,Cukurova International Airport,Mersin,Turkey,Asia,Western Asia,35.0675,36.896944,338
DLA,Douala International,Douala,Cameroon,Africa,Central Africa,9.719444,4.006111,339
BBU,Baneasa International Airport,Bucharest,Romania,Europe,Eastern Europe,26.1021,44.503201,340
IAS,Iași International,Iași,Romania,Europe,Eastern Europe,27.620556,47.178611,342
BAH,Bahrain International,Manama,Bahrain,Asia,Western Asia,50.633611,26.270833,345
LKO,Chaudhary Charan Singh International,Lucknow,India,Asia,Southern Asia,80.889444,26.760556,351
NRN,Weeze,Düsseldorf,Germany,Europe,Central Europe,6.142222,51.6025,353
VAR,Varna,Varna,Bulgaria,Europe,Eastern Europe,27.825,43.231944,354
SCQ,Santiago de Compostela,Santiago de Compostela,Spain,Europe,Southern Europe,-8.415278,42.896389,357
DTM,Dortmund,Dortmund,Germany,Europe,Central Europe,7.612222,51.518333,360
MUX,Multan International,Multan,Pakistan,Asia,Southern Asia,71.419167,30.203333,362
SCV,Suceava International,Suceava,Romania,Europe,Eastern Europe,26.354167,47.6875,363
KTW,Katowice International,Katowice,Poland,Europe,Central Europe,19.08,50.474167,365
FMM,Memmingen,Memmingen,Germany,Europe,Central Europe,10.2375,47.988056,373
PHC,Port Harcourt International,Port Harcourt,Nigeria,Africa,Western Africa,6.949722,5.015556,374
MAH,Menorca,Menorca,Spain,Europe,Southern Europe,4.218611,39.8625,376
NCL,Newcastle,Newcastle upon Tyne,United Kingdom,Europe,Northern Europe,-1.691667,55.0375,377
BDS,Brindisi,Brindisi,Italy,Europe,Southern Europe,17.948056,40.660556,378
CKY,Conakry International,Conakry,Guinea,Africa,Western Africa,-13.611944,9.576944,379
TRN,Turin,Turin,Italy,Europe,Southern Europe,7.649444,45.2025,382
ATQ,Sri Guru Ram Dass Jee International,Amritsar,India,Asia,Southern Asia,74.797222,31.709722,387
PAS,Paros National,Parikia,Greece,Europe,Southern Europe,25.128611,37.010278,390
NTE,Nantes Atlantique,Nantes,France,Europe,Western Europe,-1.607778,47.156944,392
OHD,Ohrid St. Paul the Apostle,Ohrid,Republic of North Macedonia,Europe,Southern Europe,20.742222,41.18,393
ACE,Lanzarote,Lanzarote,Spain,Europe,Southern Europe,-13.605278,28.945556,396
SPX,Sphinx International Airport,Giza,Egypt,Africa,Northern Africa,30.894444,30.109722,402
KDU,Skardu,Skardu,Unknown Region,Asia,Southern Asia,75.546389,35.333056,403
KGS,Kos Island International,Kos,Greece,Europe,Southern Europe,27.091667,36.793333,413
JRO,Kilimanjaro International,Mount Kilimanjaro,Tanzania,Africa,Eastern Africa,37.074444,-3.429444,414
FIH,N djili,Kinshasa,Democratic Republic of the Congo,Africa,Central Africa,15.444444,-4.385833,417
TZX,Trabzon,Trabzon,Turkey,Asia,Western Asia,39.789722,40.995,418
DLM,Dalaman,Dalaman,Turkey,Asia,Western Asia,28.7925,36.713056,419
NKC,Nouakchott International,Nouakchott,Mauritania,Africa,Western Africa,-15.948056,18.097778,421
SNN,Shannon,"Shannon, County Clare",Ireland,Europe,Northern Europe,-8.924722,52.701944,422
ASR,Erkilet International,Kayseri,Turkey,Asia,Western Asia,35.495556,38.770278,425
TSR,Timișoara Traian Vuia International,Timișoara,Romania,Europe,Eastern Europe,21.337778,45.81,426
KUN,Kaunas,Kaunas,Lithuania,Europe,Northern Europe,24.084722,54.963889,429
LPL,Liverpool John Lennon,Liverpool,United Kingdom,Europe,Northern Europe,-2.849722,53.333611,433
SUF,Lamezia Terme International,Lamezia Terme,Italy,Europe,Southern Europe,16.241667,38.908333,438
PEW,Bacha Khan International,Peshawar,Pakistan,Asia,Southern Asia,71.514444,33.993889,443
MLO,Milos Island National,"Plaka, Milos",Greece,Europe,Southern Europe,24.472778,36.696667,444
VRN,Verona Villafranca,Verona,Italy,Europe,Southern Europe,10.888056,45.396389,446
RAI,Nelson Mandela International,Praia,Cape Verde,Africa,Western Africa,-23.484722,14.941389,449
BFS,Belfast International,Belfast,United Kingdom,Europe,Northern Europe,-6.215833,54.6575,451
TFN,Tenerife-North,Tenerife,Spain,Europe,Southern Europe,-16.341667,28.482778,452
BKO,Bamako–Sénou International,Bamako,Mali,Africa,Western Africa,-7.95,12.533611,453
SKD,Samarkand International,Samarkand,Uzbekistan,Asia,Central Asia,66.984722,39.700556,456
BNI,Benin,Benin City,Nigeria,Africa,Western Africa,5.599444,6.316944,457
ROB,Roberts International,Monrovia,Liberia,Africa,Western Africa,-10.362222,6.233889,463
NAV,Nevşehir Kapadokya,Nevşehir,Turkey,Asia,Western Asia,34.534444,38.771944,464
ORK,Cork,Cork,Ireland,Europe,Northern Europe,-8.491111,51.841389,466
JNX,Naxos Island National,Naxos,Greece,Europe,Southern Europe,25.368611,37.082222,467
VAN,Van Ferit Melen,Van,Turkey,Asia,Western Asia,43.332222,38.468333,476
ORN,Oran Es Sénia,Oran,Algeria,Africa,Northern Africa,-0.621111,35.623889,479
FKB,Karlsruhe/Baden-Baden,Karlsruhe,Germany,Europe,Central Europe,8.080556,48.779444,482
PNQ,Pune,Pune,India,Asia,Southern Asia,73.919722,18.582222,484
ARK,Arusha,Arusha,Tanzania,Africa,Eastern Africa,36.625,-3.367222,486
AHB,Abha Regional,Abha,Saudi Arabia,Asia,Western Asia,42.656667,18.240278,487
SKT,Sialkot International,Sialkot,Pakistan,Asia,Southern Asia,74.363889,32.535278,491
HAJ,Hannover,Hanover,Germany,Europe,Central Europe,9.689444,52.460556,495
